"HDI Rank","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
" ","Very high human development","11.8","","12.1","","11.5","","12.4","","12.1","","11.3","","11.8","","11.1","","10.8","","10.9",""
" ","High human development","22.4","","22.1","","22.0","","21.3","","21.0","","20.8","","19.9","","17.1","","17.9","","17.9",""
" ","Medium human development","29.1","","28.1","","28.7","","28.0","","27.9","","27.1","","27.0","","26.1","","20.0","","26.3",""
" ","Low human development","36.0","","34.9","","35.4","","33.8","","33.2","","32.2","","31.2","","31.3","","31.1","","31.4",""
" ","Developing Countries","26.2","","25.5","","25.8","","25.9","","25.8","","25.2","","24.7","","22.0","","20.3","","22.4",""
"","Regions","","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Arab States","27.4","","26.2","","25.4","","24.9","","25.4","","27.5","","26.0","","25.1","","24.5","","24.7",""
" ","East Asia and the Pacific","21.9","","21.3","","21.3","","19.7","","19.4","","19.2","","18.9","","15.6","","16.6","","16.9",""
" ","Europe and Central Asia","16.1","","15.2","","15.5","","13.3","","13.0","","12.7","","11.9","","11.7","","11.5","","11.9",""
" ","Latin America and the Caribbean","25.3","","26.1","","25.7","","24.5","","23.7","","23.4","","22.3","","21.8","","22.4","","22.2",""
" ","South Asia","29.6","","28.4","","29.1","","28.7","","28.7","","27.7","","28.0","","26.2","","19.0","","25.9",""
" ","Sub-Saharan Africa","35.1","","34.5","","35.0","","33.7","","33.3","","32.2","","30.7","","30.8","","30.5","","30.5",""
" ","Least Developed Countries","33.4","","32.5","","32.5","","31.1","","31.0","","30.0","","29.0","","28.5","","28.6","","28.6",""
" ","Small Island Developing States","28.9","","27.9","","28.7","","24.7","","24.7","","24.5","","24.2","","23.5","","24.0","","24.6",""
" ","Organization for Economic Co-operation and Development","12.3","","13.1","","12.5","","13.4","","13.2","","12.5","","12.9","","12.0","","11.7","","12.1",""
" ","World","23.4","","23.0","","23.3","","23.0","","22.9","","22.3","","22.0","","20.1","","18.6","","20.4",""
""
